employee_id,country,region,sector,age_group,gender,year,wellbeing_score,burnout_risk_score,weekly_work_hours,productivity_score,absenteeism_days_per_year,mental_health_support_access,remote_work_pct,salary_satisfaction,mental_health_diagnosis,presenteeism_score
EMP012191,Canada,North America,Construction,56-65,Non-binary,2024,74.3,5.79,42.4,55.3,9.4,1,9,4.0,0,49.7
EMP012192,Japan,Asia,Retail,56-65,Female,2020,59.2,6.6,35.3,34.4,10.6,1,9,3.4,0,53.1
EMP012193,South Africa,Africa,Finance,56-65,Female,2018,66.8,7.83,50.1,43.3,8.6,0,0,2.9,0,57.3
EMP012194,Netherlands,Europe,Government,18-25,Male,2021,68.7,5.14,33.9,65.4,10.6,1,24,4.3,0,48.6
EMP012195,Sweden,Europe,Technology,18-25,Female,2017,58.6,4.83,36.1,47.7,7.5,1,0,4.5,0,42.1
EMP012196,Kenya,Africa,Manufacturing,46-55,Female,2015,44.5,6.12,39.8,46.8,9.6,0,0,3.8,0,41.6
EMP012197,Spain,Europe,Agriculture,36-45,Non-binary,2024,67.0,4.82,46.4,61.7,5.9,0,0,3.2,0,45.3
EMP012198,Poland,Europe,Healthcare,26-35,Male,2020,48.0,8.03,50.4,34.7,13.3,0,26,1.6,0,69.4
EMP012199,Canada,North America,Technology,46-55,Male,2020,66.7,3.46,47.4,62.4,8.2,1,75,3.0,0,31.1
EMP012200,Germany,Europe,Education,46-55,Male,2015,81.1,5.94,42.2,64.5,10.2,1,0,4.5,0,45.6
EMP012201,Mexico,South America,Finance,46-55,Male,2020,59.1,6.58,40.0,42.5,8.3,0,44,3.4,1,49.2
EMP012202,Argentina,South America,Agriculture,46-55,Female,2016,58.9,6.4,36.9,56.3,10.7,0,0,2.8,1,52.8
EMP012203,China,Asia,Construction,26-35,Male,2023,54.7,4.72,46.1,52.3,6.1,0,9,2.8,0,36.1
EMP012204,Italy,Europe,Transportation,56-65,Male,2021,71.6,7.31,45.5,58.4,8.9,1,1,3.0,0,54.5
EMP012205,Singapore,Asia,Technology,18-25,Female,2020,74.0,8.37,43.2,56.7,7.3,0,71,4.3,0,61.9
EMP012206,Egypt,Africa,Retail,36-45,Female,2020,65.8,5.35,35.3,56.8,8.9,0,17,3.2,0,47.6
EMP012207,Sweden,Europe,Education,36-45,Male,2017,86.0,6.59,43.9,74.6,10.6,1,0,5.0,0,55.6
EMP012208,South Korea,Asia,Healthcare,26-35,Male,2021,51.8,7.31,45.8,40.6,15.0,1,15,4.3,0,62.0
EMP012209,Japan,Asia,Healthcare,26-35,Male,2022,54.7,6.56,48.0,37.5,10.5,1,22,3.6,1,54.2
EMP012210,India,Asia,Technology,18-25,Male,2017,48.4,5.82,36.6,47.1,7.4,0,0,1.2,0,55.7
EMP012211,Singapore,Asia,Education,18-25,Female,2023,72.2,7.78,37.8,48.0,5.6,1,54,4.7,0,56.2
EMP012212,India,Asia,Education,56-65,Female,2020,63.2,5.9,47.7,47.9,6.6,1,43,2.7,0,36.7
EMP012213,Italy,Europe,Technology,36-45,Female,2024,78.0,6.96,41.3,67.7,7.0,0,78,3.2,1,57.7
EMP012214,China,Asia,Technology,18-25,Male,2018,72.3,7.52,44.0,49.4,8.7,0,0,3.0,0,63.0
EMP012215,Sweden,Europe,Construction,56-65,Male,2017,70.8,6.61,42.5,63.7,6.5,1,0,4.3,0,48.8
EMP012216,Turkey,Middle East,Finance,36-45,Male,2017,65.6,5.34,40.0,60.7,7.9,0,0,2.1,0,40.8
EMP012217,Brazil,South America,Healthcare,18-25,Male,2016,53.7,6.08,36.5,55.2,8.4,0,0,3.6,0,65.3
EMP012218,Mexico,South America,Transportation,46-55,Female,2016,54.2,7.6,43.9,40.9,5.1,0,0,3.0,0,60.6
EMP012219,Canada,North America,Agriculture,36-45,Male,2016,57.5,4.65,33.4,62.5,8.4,1,0,3.1,0,40.8
EMP012220,South Korea,Asia,Education,46-55,Male,2015,60.2,8.33,42.3,39.3,11.6,1,0,3.1,0,67.1
EMP012221,United Kingdom,Europe,Agriculture,18-25,Male,2021,70.7,6.53,42.9,56.7,10.7,0,17,3.5,0,45.3
EMP012222,Egypt,Africa,Finance,26-35,Male,2020,54.0,7.07,48.6,48.2,9.5,0,55,2.7,0,56.1
EMP012223,Netherlands,Europe,Finance,26-35,Male,2023,68.1,5.12,40.7,69.0,7.2,1,65,4.8,1,36.5
EMP012224,United States,North America,Government,36-45,Female,2016,70.2,5.59,34.1,52.3,7.0,1,0,5.0,0,47.9
EMP012225,Norway,Europe,Transportation,26-35,Female,2020,67.0,5.92,45.6,49.9,6.7,1,13,5.0,0,47.0
EMP012226,France,Europe,Healthcare,56-65,Female,2024,62.6,7.66,40.8,48.4,5.8,0,17,4.0,1,63.2
EMP012227,Mexico,South America,Technology,26-35,Male,2015,50.4,7.24,40.6,41.3,8.1,0,0,3.1,0,64.7
EMP012228,Poland,Europe,Education,46-55,Female,2019,49.8,7.75,48.3,37.9,12.5,1,0,1.5,0,58.3
EMP012229,South Korea,Asia,Healthcare,26-35,Male,2020,61.3,8.18,41.6,49.2,9.8,1,15,3.5,0,62.9
EMP012230,South Africa,Africa,Healthcare,46-55,Female,2016,64.5,5.86,39.5,56.0,3.7,0,0,2.5,0,49.7
EMP012231,Argentina,South America,Manufacturing,36-45,Female,2015,70.0,6.83,38.7,52.1,6.1,0,0,2.2,0,53.8
EMP012232,China,Asia,Transportation,26-35,Male,2015,48.7,5.72,42.7,39.6,6.8,1,0,3.3,0,43.9
EMP012233,Brazil,South America,Construction,46-55,Female,2016,51.3,4.68,43.7,51.6,5.2,0,0,4.4,0,36.7
EMP012234,Russia,Europe,Government,36-45,Female,2019,65.0,4.5,33.4,63.8,6.9,1,0,4.3,0,35.5
EMP012235,Russia,Europe,Retail,36-45,Male,2020,61.4,6.83,38.1,51.8,10.1,0,13,2.2,0,58.6
EMP012236,Turkey,Middle East,Healthcare,18-25,Male,2015,62.6,5.61,30.7,59.2,5.7,0,0,3.1,0,42.7
EMP012237,Germany,Europe,Education,18-25,Female,2017,54.6,6.22,48.6,47.8,3.9,1,0,4.6,1,46.6
EMP012238,New Zealand,Oceania,Healthcare,56-65,Male,2016,56.8,8.38,43.4,36.3,11.6,1,0,3.5,0,67.8
EMP012239,United States,North America,Finance,56-65,Male,2023,61.8,9.27,55.6,43.2,11.0,1,42,4.5,0,79.8
EMP012240,South Africa,Africa,Technology,18-25,Female,2020,44.9,5.8,47.0,41.7,12.7,0,92,1.0,0,42.3
EMP012241,Poland,Europe,Finance,26-35,Male,2021,60.8,7.68,43.5,38.3,11.6,0,52,2.9,0,62.2
EMP012242,Spain,Europe,Education,18-25,Male,2022,51.0,7.47,40.8,41.4,6.2,1,47,3.9,1,52.5
EMP012243,Sweden,Europe,Retail,56-65,Male,2019,68.9,6.28,37.2,51.7,7.8,0,0,4.9,0,44.8
EMP012244,Nigeria,Africa,Retail,56-65,Male,2019,55.8,6.98,34.6,41.0,8.7,0,0,1.9,0,58.1
EMP012245,Netherlands,Europe,Agriculture,46-55,Male,2019,69.2,5.01,35.9,56.4,6.7,0,0,3.6,0,48.0
EMP012246,Canada,North America,Technology,36-45,Male,2017,67.1,6.16,46.5,42.3,8.9,1,0,3.3,0,54.8
EMP012247,Netherlands,Europe,Construction,56-65,Male,2016,60.7,4.62,42.3,57.8,9.9,1,0,4.4,0,44.3
EMP012248,United Kingdom,Europe,Retail,26-35,Male,2017,66.8,6.71,37.3,58.1,6.6,0,0,4.3,0,56.6
EMP012249,Norway,Europe,Finance,46-55,Female,2019,49.6,6.91,42.1,33.9,11.8,1,0,5.0,0,56.8
EMP012250,Egypt,Africa,Healthcare,56-65,Male,2021,53.3,7.65,37.5,41.8,11.4,0,13,1.8,1,59.8
EMP012251,Mexico,South America,Education,18-25,Male,2024,67.5,5.51,43.4,51.7,6.7,1,34,3.8,0,45.7
EMP012252,Australia,Oceania,Transportation,26-35,Female,2021,65.0,4.51,41.5,65.7,6.6,1,13,4.8,0,31.1
EMP012253,Switzerland,Europe,Construction,36-45,Female,2016,76.5,3.83,41.4,61.0,8.0,1,0,5.0,1,32.2
EMP012254,Japan,Asia,Transportation,18-25,Male,2024,65.1,6.95,44.8,49.3,13.3,0,14,2.6,0,44.9
EMP012255,Saudi Arabia,Middle East,Retail,18-25,Female,2021,52.2,6.42,41.9,44.7,8.5,1,7,2.8,0,42.6
EMP012256,United States,North America,Education,26-35,Female,2019,58.8,5.94,41.3,48.5,8.8,1,0,5.0,0,50.1
EMP012257,Switzerland,Europe,Construction,26-35,Female,2019,71.8,3.8,42.2,68.8,4.9,1,0,4.3,0,25.2
EMP012258,France,Europe,Government,26-35,Male,2020,57.5,7.6,36.6,42.7,7.7,1,27,4.3,0,54.7
EMP012259,India,Asia,Government,36-45,Female,2017,61.3,6.65,37.2,50.3,9.7,1,0,3.4,0,55.6
EMP012260,Saudi Arabia,Middle East,Manufacturing,46-55,Male,2017,62.6,6.35,49.4,48.7,8.7,1,0,1.6,0,49.3
EMP012261,UAE,Middle East,Construction,18-25,Male,2016,67.0,6.42,41.6,54.8,8.8,1,0,4.3,0,41.3
EMP012262,Turkey,Middle East,Manufacturing,46-55,Male,2024,58.5,4.13,40.5,63.0,9.6,0,9,4.0,1,23.1
EMP012263,Japan,Asia,Construction,18-25,Male,2022,54.8,4.27,49.8,54.4,11.1,1,11,3.0,0,33.7
EMP012264,UAE,Middle East,Retail,26-35,Female,2024,56.6,5.18,37.2,51.0,8.5,1,5,1.9,0,39.2
EMP012265,Turkey,Middle East,Retail,36-45,Male,2018,51.5,7.14,46.8,42.6,11.3,0,0,3.3,0,63.8
EMP012266,China,Asia,Construction,26-35,Female,2015,56.4,6.55,42.9,40.3,9.6,0,0,2.4,1,46.0
EMP012267,Egypt,Africa,Manufacturing,56-65,Female,2018,52.2,6.72,44.3,47.9,6.5,0,0,1.1,0,42.0
EMP012268,Canada,North America,Retail,56-65,Female,2020,70.0,2.73,43.4,66.1,6.9,1,22,5.0,0,32.1
EMP012269,South Korea,Asia,Construction,46-55,Female,2019,60.7,4.87,44.0,52.9,7.0,1,0,4.3,0,30.3
EMP012270,Mexico,South America,Education,46-55,Female,2022,71.9,8.29,41.9,45.4,8.2,0,44,2.7,0,69.2
EMP012271,Singapore,Asia,Education,46-55,Female,2023,62.4,6.42,43.4,48.2,8.2,0,25,4.1,0,48.4
EMP012272,South Africa,Africa,Manufacturing,36-45,Male,2020,54.5,5.98,42.2,42.5,5.9,0,6,1.0,0,53.1
EMP012273,Russia,Europe,Retail,36-45,Male,2018,39.6,4.04,47.1,46.8,7.5,0,0,3.2,0,29.9
EMP012274,Poland,Europe,Transportation,18-25,Male,2016,56.6,6.31,42.7,42.5,7.8,0,0,2.7,0,52.5
EMP012275,United Kingdom,Europe,Transportation,26-35,Female,2023,60.6,7.6,44.7,46.0,9.8,0,5,4.0,0,57.5
EMP012276,Italy,Europe,Finance,18-25,Non-binary,2023,64.9,6.06,42.4,50.3,9.0,1,49,3.5,1,45.3
EMP012277,UAE,Middle East,Government,46-55,Female,2020,60.4,4.63,37.0,49.4,7.7,0,28,5.0,0,44.9
EMP012278,Norway,Europe,Construction,46-55,Female,2017,75.6,5.38,48.1,59.0,7.6,1,0,4.4,0,39.5
EMP012279,South Korea,Asia,Manufacturing,26-35,Female,2015,56.1,6.31,50.6,53.0,7.9,1,0,2.6,0,49.5
EMP012280,South Africa,Africa,Finance,18-25,Female,2016,59.8,7.22,48.7,50.3,8.8,0,0,2.7,1,52.0
EMP012281,Nigeria,Africa,Retail,46-55,Female,2017,54.2,4.72,37.9,49.3,10.8,0,0,1.1,0,40.8
EMP012282,Netherlands,Europe,Transportation,18-25,Non-binary,2024,69.4,5.07,43.3,52.3,4.8,1,10,4.4,0,36.4
EMP012283,New Zealand,Oceania,Finance,56-65,Male,2024,65.9,7.37,49.1,58.7,9.3,1,56,3.0,0,55.0
EMP012284,Turkey,Middle East,Healthcare,18-25,Female,2020,56.2,7.32,45.2,49.9,6.2,0,19,2.4,0,61.6
EMP012285,United Kingdom,Europe,Government,36-45,Male,2022,61.9,5.52,37.5,52.3,7.4,1,29,3.2,0,46.2
EMP012286,Netherlands,Europe,Retail,56-65,Male,2018,69.7,3.7,40.3,60.4,6.1,1,0,4.0,0,25.1
EMP012287,Poland,Europe,Technology,36-45,Female,2016,63.2,7.09,44.0,53.9,10.6,1,0,4.6,0,58.4
EMP012288,India,Asia,Construction,36-45,Female,2015,43.7,7.26,45.5,44.8,13.6,0,0,2.5,0,48.9
EMP012289,Sweden,Europe,Healthcare,18-25,Female,2023,68.6,8.94,43.2,46.1,8.3,1,18,4.7,0,78.1
EMP012290,Egypt,Africa,Government,26-35,Male,2018,47.0,5.21,44.0,40.0,12.5,1,0,3.0,0,43.4
EMP012291,Saudi Arabia,Middle East,Retail,56-65,Female,2018,57.9,6.34,41.3,47.7,6.5,1,0,3.5,0,63.6
EMP012292,Italy,Europe,Construction,56-65,Female,2021,43.7,6.04,45.6,30.5,8.6,1,13,3.5,0,53.3
EMP012293,Australia,Oceania,Retail,56-65,Female,2018,53.1,9.92,31.2,32.5,11.5,1,0,3.6,0,76.0
EMP012294,Japan,Asia,Finance,36-45,Female,2017,67.6,9.29,44.2,46.1,11.0,1,0,4.2,1,80.8
EMP012295,France,Europe,Agriculture,18-25,Female,2024,71.6,4.58,42.4,60.9,9.6,1,0,5.0,1,30.2
EMP012296,Australia,Oceania,Technology,36-45,Male,2017,67.2,8.97,40.7,40.1,7.3,1,0,3.3,0,73.5
EMP012297,Russia,Europe,Technology,18-25,Male,2016,54.2,7.16,41.6,36.6,11.1,0,0,2.3,0,69.3
EMP012298,Sweden,Europe,Transportation,36-45,Non-binary,2015,67.1,6.78,43.5,46.8,8.3,1,0,5.0,0,51.2
EMP012299,China,Asia,Healthcare,56-65,Male,2016,59.5,5.88,48.5,63.6,6.1,0,0,3.9,0,41.1
EMP012300,United States,North America,Construction,56-65,Male,2019,66.9,4.75,45.0,67.5,7.1,1,0,4.1,0,39.5
EMP012301,China,Asia,Transportation,46-55,Male,2016,54.6,6.34,39.6,52.7,11.3,0,0,2.0,0,44.3
EMP012302,Netherlands,Europe,Construction,46-55,Male,2017,55.0,5.77,44.9,46.0,10.7,1,0,4.8,0,53.6
EMP012303,Mexico,South America,Education,36-45,Male,2024,53.4,6.25,46.5,47.5,6.3,0,59,2.8,1,52.4
EMP012304,Singapore,Asia,Healthcare,56-65,Female,2023,71.0,8.22,41.0,49.5,12.8,1,4,5.0,0,67.1
EMP012305,Canada,North America,Technology,36-45,Non-binary,2022,59.6,6.49,42.2,51.6,10.3,1,73,3.9,0,58.8
EMP012306,South Africa,Africa,Agriculture,56-65,Male,2018,34.7,4.58,40.1,33.0,12.7,0,0,3.4,1,32.2
EMP012307,France,Europe,Government,26-35,Female,2022,52.9,4.72,34.6,51.6,12.2,0,52,4.0,0,47.5
EMP012308,Nigeria,Africa,Agriculture,56-65,Female,2021,39.1,2.61,47.5,52.7,9.1,0,13,2.9,0,19.5
EMP012309,South Korea,Asia,Manufacturing,26-35,Male,2018,74.9,8.43,37.5,45.5,6.9,1,0,2.8,0,73.6
EMP012310,South Africa,Africa,Retail,26-35,Female,2020,49.2,5.93,34.3,40.6,6.7,0,7,2.8,0,50.7
EMP012311,Egypt,Africa,Healthcare,36-45,Male,2015,45.4,6.24,42.3,50.6,8.2,1,0,3.6,0,50.3
EMP012312,Australia,Oceania,Education,36-45,Male,2021,65.3,7.64,44.0,58.5,11.7,1,38,2.8,0,65.1
EMP012313,Nigeria,Africa,Technology,36-45,Female,2020,72.9,7.87,39.6,49.5,11.2,0,83,2.5,0,60.3
EMP012314,Switzerland,Europe,Education,26-35,Male,2021,73.6,4.61,35.2,62.5,5.1,1,51,5.0,1,43.0
EMP012315,Singapore,Asia,Agriculture,18-25,Male,2018,73.7,5.37,51.3,64.8,6.9,1,0,5.0,0,51.6
EMP012316,Switzerland,Europe,Education,56-65,Male,2018,78.2,5.76,42.2,60.1,5.7,0,0,5.0,0,46.4
EMP012317,Japan,Asia,Government,46-55,Female,2020,72.2,3.63,36.6,66.1,6.2,1,32,3.4,0,23.5
EMP012318,New Zealand,Oceania,Construction,46-55,Male,2019,64.9,4.27,56.5,68.2,5.2,0,0,4.6,0,37.6
EMP012319,Brazil,South America,Education,26-35,Male,2019,63.1,5.39,41.9,51.0,9.2,0,0,3.4,0,44.8
EMP012320,United States,North America,Construction,26-35,Female,2024,65.4,6.53,46.4,49.8,6.1,1,9,5.0,0,55.0
EMP012321,Spain,Europe,Retail,46-55,Male,2023,50.3,3.79,37.7,47.6,6.3,1,6,4.2,0,36.1
EMP012322,Sweden,Europe,Government,46-55,Female,2017,59.9,5.63,33.5,51.0,9.4,1,0,4.3,0,43.7
EMP012323,Argentina,South America,Retail,18-25,Male,2021,70.1,7.88,45.3,48.1,10.3,0,15,2.3,0,62.3
EMP012324,Turkey,Middle East,Construction,18-25,Female,2017,37.6,5.68,40.6,41.4,12.8,1,0,1.3,0,51.0
EMP012325,Russia,Europe,Construction,26-35,Male,2016,72.9,7.3,46.5,56.8,10.6,1,0,3.7,0,60.1
EMP012326,Singapore,Asia,Retail,36-45,Male,2022,62.6,4.41,47.2,60.1,4.6,1,18,5.0,0,41.0
EMP012327,Italy,Europe,Transportation,26-35,Female,2021,69.1,6.62,43.2,57.0,10.5,1,16,3.1,0,53.0
EMP012328,Sweden,Europe,Government,36-45,Female,2019,69.8,4.35,36.5,66.8,7.9,1,0,1.8,0,36.9
EMP012329,France,Europe,Manufacturing,26-35,Female,2015,62.4,5.51,43.9,53.2,8.4,1,0,3.5,0,45.5
EMP012330,Canada,North America,Healthcare,46-55,Male,2017,70.7,7.17,46.6,48.5,7.5,1,0,4.3,0,55.7
EMP012331,France,Europe,Agriculture,36-45,Female,2021,71.8,5.96,46.8,58.8,6.3,0,6,3.8,0,52.2
EMP012332,France,Europe,Construction,56-65,Male,2020,57.3,4.73,45.1,50.9,6.5,1,9,4.0,0,31.6
EMP012333,China,Asia,Manufacturing,18-25,Female,2023,61.6,7.11,40.2,43.9,10.9,1,6,3.0,0,55.2
EMP012334,France,Europe,Healthcare,46-55,Male,2024,74.5,8.61,44.7,51.8,8.1,1,18,3.4,0,69.3
EMP012335,Saudi Arabia,Middle East,Construction,18-25,Male,2024,59.2,3.68,54.2,67.3,8.9,1,8,3.9,0,29.9
EMP012336,Mexico,South America,Healthcare,36-45,Male,2019,43.2,7.25,54.0,39.0,9.1,0,0,3.6,0,54.4
EMP012337,Netherlands,Europe,Healthcare,18-25,Male,2015,77.1,6.76,47.9,52.7,5.3,0,0,3.9,0,52.0
EMP012338,Poland,Europe,Construction,18-25,Male,2021,48.0,4.53,46.4,53.1,10.2,0,9,2.8,1,35.8
EMP012339,Nigeria,Africa,Manufacturing,46-55,Male,2022,62.1,4.86,42.4,61.4,8.7,0,19,3.9,0,30.5
EMP012340,France,Europe,Government,56-65,Male,2021,48.3,6.31,36.8,42.9,10.4,1,48,4.4,0,52.0
EMP012341,Brazil,South America,Government,36-45,Female,2015,56.9,3.62,41.5,66.0,8.5,1,0,3.7,0,29.8
EMP012342,Saudi Arabia,Middle East,Transportation,36-45,Female,2020,76.8,4.33,41.6,71.8,5.1,1,3,3.2,0,39.5
EMP012343,New Zealand,Oceania,Construction,36-45,Male,2018,56.3,4.83,45.5,50.3,13.0,1,0,2.7,0,44.7
EMP012344,China,Asia,Manufacturing,26-35,Female,2021,56.2,4.43,43.9,58.6,6.7,0,0,2.7,0,31.2
EMP012345,Switzerland,Europe,Agriculture,26-35,Female,2015,72.6,4.22,39.3,67.5,9.6,1,0,5.0,0,41.5
EMP012346,Argentina,South America,Education,46-55,Male,2021,60.1,5.17,41.4,56.1,4.0,1,36,2.4,0,37.2
EMP012347,Norway,Europe,Education,46-55,Male,2018,70.5,7.08,41.6,47.1,7.3,0,0,5.0,0,67.6
EMP012348,Saudi Arabia,Middle East,Technology,18-25,Female,2024,72.7,6.27,38.7,58.8,6.8,0,71,4.2,0,47.0
EMP012349,South Africa,Africa,Technology,56-65,Male,2020,46.4,5.5,46.9,47.8,9.4,1,88,2.2,0,49.6
EMP012350,New Zealand,Oceania,Transportation,46-55,Female,2024,65.0,4.91,51.5,59.4,5.3,1,9,3.8,0,37.2
EMP012351,Japan,Asia,Technology,46-55,Female,2017,57.5,8.39,43.9,41.1,9.5,1,0,4.2,0,67.1
EMP012352,UAE,Middle East,Government,46-55,Female,2022,54.6,5.98,38.0,51.2,9.5,1,25,4.5,0,57.9
EMP012353,Netherlands,Europe,Healthcare,56-65,Female,2023,67.0,7.03,39.2,46.7,6.2,1,24,5.0,0,57.7
EMP012354,United States,North America,Agriculture,56-65,Female,2016,70.6,7.08,39.5,54.1,12.6,1,0,4.6,0,50.1
EMP012355,Mexico,South America,Manufacturing,36-45,Male,2017,41.8,5.97,47.0,41.7,6.8,1,0,1.3,0,49.8
EMP012356,Italy,Europe,Transportation,18-25,Non-binary,2019,51.1,4.98,50.9,44.1,7.5,1,0,5.0,0,44.0
EMP012357,Switzerland,Europe,Technology,46-55,Female,2018,65.8,4.41,40.3,62.4,5.8,1,0,5.0,0,36.9
EMP012358,United States,North America,Transportation,26-35,Male,2017,67.5,4.15,46.5,62.9,6.6,1,0,2.8,0,31.0
EMP012359,France,Europe,Education,36-45,Female,2018,73.9,4.32,43.9,70.8,9.3,1,0,5.0,0,36.7
EMP012360,Netherlands,Europe,Healthcare,46-55,Female,2020,70.8,6.13,43.9,57.0,6.3,1,9,4.1,1,41.4
EMP012361,Poland,Europe,Government,46-55,Male,2019,64.0,4.44,39.8,68.8,7.6,0,0,2.4,0,42.0
EMP012362,Canada,North America,Education,56-65,Male,2017,83.3,7.59,41.6,63.0,9.9,1,0,4.2,1,64.8
EMP012363,United Kingdom,Europe,Agriculture,18-25,Male,2019,60.5,3.66,35.2,64.5,5.1,1,0,3.6,0,27.1
EMP012364,Saudi Arabia,Middle East,Finance,46-55,Female,2022,59.5,7.78,42.7,42.6,11.0,0,46,3.7,0,60.4
EMP012365,Argentina,South America,Technology,26-35,Female,2018,56.2,6.7,42.6,42.7,10.4,0,0,3.8,0,57.2
EMP012366,Mexico,South America,Finance,18-25,Male,2019,65.2,7.74,42.4,48.2,10.8,0,0,3.6,0,67.2
EMP012367,Switzerland,Europe,Transportation,18-25,Female,2023,72.3,3.9,40.5,69.8,5.6,1,0,5.0,0,37.1
EMP012368,India,Asia,Government,18-25,Male,2015,70.2,3.61,39.4,68.4,7.1,1,0,3.5,1,28.7
EMP012369,Argentina,South America,Agriculture,36-45,Female,2020,66.3,4.33,44.0,62.5,8.7,1,2,5.0,1,29.3
EMP012370,Saudi Arabia,Middle East,Transportation,18-25,Male,2024,66.7,4.5,42.1,65.4,8.5,1,20,1.9,0,33.6
EMP012371,Australia,Oceania,Construction,46-55,Female,2022,92.2,6.36,48.8,71.0,6.5,1,25,3.1,0,45.9
EMP012372,United States,North America,Manufacturing,36-45,Male,2019,76.1,4.64,44.6,64.2,8.9,1,0,5.0,0,43.7
EMP012373,Brazil,South America,Transportation,18-25,Male,2015,49.1,5.86,30.9,38.8,8.8,1,0,3.7,0,56.9
EMP012374,Kenya,Africa,Education,56-65,Female,2015,57.5,7.31,43.8,47.0,10.2,0,0,2.6,0,61.3
EMP012375,Turkey,Middle East,Technology,36-45,Male,2022,72.0,4.9,41.5,65.8,8.6,0,93,2.8,0,35.8
EMP012376,Egypt,Africa,Finance,46-55,Male,2024,53.7,6.76,40.5,43.3,13.8,1,51,2.0,0,52.9
EMP012377,Argentina,South America,Finance,26-35,Female,2023,51.2,8.29,44.1,36.0,13.7,1,44,2.4,1,64.5
EMP012378,Spain,Europe,Healthcare,46-55,Female,2019,60.9,8.71,49.2,39.6,9.0,1,0,3.1,0,67.7
EMP012379,Spain,Europe,Finance,46-55,Female,2020,72.7,4.59,46.3,60.0,6.0,1,48,3.9,0,40.1
EMP012380,Singapore,Asia,Government,26-35,Female,2018,70.9,4.76,43.3,63.9,9.9,1,0,5.0,0,49.0
EMP012381,Spain,Europe,Technology,56-65,Male,2022,63.0,6.23,46.5,55.4,12.2,1,72,3.5,1,43.9
EMP012382,Kenya,Africa,Government,36-45,Male,2018,67.0,8.2,38.9,50.0,10.3,0,0,2.3,0,56.1
EMP012383,United Kingdom,Europe,Healthcare,56-65,Female,2022,59.7,7.39,48.0,45.6,13.3,1,27,4.2,0,60.3
EMP012384,UAE,Middle East,Transportation,18-25,Female,2021,70.9,4.03,40.6,83.3,7.0,1,7,3.3,0,29.8
EMP012385,Egypt,Africa,Manufacturing,46-55,Non-binary,2015,63.8,4.71,46.1,64.9,8.2,1,0,3.0,0,40.2
EMP012386,Mexico,South America,Agriculture,18-25,Male,2024,61.9,4.52,45.1,57.1,5.7,1,0,1.2,0,27.9
EMP012387,New Zealand,Oceania,Agriculture,26-35,Male,2016,69.8,5.21,38.4,54.8,7.2,1,0,3.8,0,36.3
EMP012388,New Zealand,Oceania,Finance,56-65,Female,2017,68.8,9.22,49.4,49.9,11.1,1,0,3.5,0,78.0
EMP012389,Spain,Europe,Technology,36-45,Male,2018,74.0,5.67,41.4,65.5,7.8,1,0,2.8,0,43.8
EMP012390,Switzerland,Europe,Government,46-55,Male,2021,70.6,4.8,35.2,62.4,8.4,1,50,5.0,1,36.9
EMP012391,Germany,Europe,Transportation,26-35,Male,2024,66.4,6.91,41.7,49.0,8.7,1,27,2.2,1,56.7
EMP012392,Mexico,South America,Manufacturing,36-45,Female,2019,64.0,5.22,36.5,58.7,9.7,1,0,4.8,0,44.9
EMP012393,Japan,Asia,Manufacturing,56-65,Female,2016,57.4,5.83,40.4,56.5,7.3,0,0,3.7,0,40.9
EMP012394,South Korea,Asia,Education,56-65,Female,2021,61.6,4.8,44.7,61.8,3.2,1,46,4.1,1,37.5
EMP012395,Nigeria,Africa,Agriculture,56-65,Female,2016,41.0,4.31,41.0,45.3,7.0,0,0,2.6,0,41.4
EMP012396,UAE,Middle East,Finance,26-35,Male,2024,77.2,9.4,48.4,46.2,6.6,1,69,5.0,0,80.7
EMP012397,Nigeria,Africa,Healthcare,56-65,Male,2019,42.4,7.75,41.1,30.3,10.4,0,0,3.6,0,58.3
EMP012398,Norway,Europe,Agriculture,46-55,Male,2023,77.3,4.48,39.4,67.1,8.2,1,0,5.0,1,43.2
EMP012399,Poland,Europe,Retail,46-55,Male,2015,49.2,6.1,36.6,44.0,6.6,0,0,2.6,1,52.3
EMP012400,India,Asia,Technology,46-55,Female,2017,65.7,6.72,49.9,38.4,9.2,0,0,1.7,0,53.2
EMP012401,Australia,Oceania,Construction,56-65,Male,2023,57.8,4.98,43.2,51.7,7.2,0,3,4.4,0,38.8
EMP012402,Argentina,South America,Agriculture,18-25,Female,2017,55.4,3.72,40.3,51.9,9.4,1,0,2.9,0,16.1
EMP012403,Netherlands,Europe,Agriculture,26-35,Female,2024,73.6,4.21,41.2,65.9,8.5,0,1,5.0,0,48.2
EMP012404,UAE,Middle East,Finance,36-45,Male,2019,64.1,7.54,52.8,45.4,6.4,1,0,4.3,1,71.8
EMP012405,South Korea,Asia,Transportation,18-25,Female,2021,41.4,4.33,44.6,48.9,12.4,1,10,4.6,0,36.3
EMP012406,Poland,Europe,Manufacturing,36-45,Female,2018,52.8,4.2,36.0,56.2,10.7,0,0,3.7,0,31.1
EMP012407,Argentina,South America,Manufacturing,56-65,Female,2018,50.5,5.46,45.7,45.1,8.0,0,0,2.5,0,40.3
EMP012408,Argentina,South America,Technology,46-55,Male,2024,52.5,5.6,40.3,51.1,10.5,0,79,2.1,0,51.1
EMP012409,South Korea,Asia,Technology,26-35,Male,2021,58.6,5.27,44.5,59.1,10.1,1,84,4.4,0,40.0
